{'loss': 0.0987, 'grad_norm': 20.648162841796875, 'learning_rate': 1.0216709122457269e-05, 'epoch': 1.47}
{'loss': 0.1154, 'grad_norm': 27.335962295532227, 'learning_rate': 1.0032118728541367e-05, 'epoch': 1.5}
{'loss': 0.1075, 'grad_norm': 0.10447876155376434, 'learning_rate': 9.847528334625467e-06, 'epoch': 1.52}
{'loss': 0.1034, 'grad_norm': 2.5010275840759277, 'learning_rate': 9.662937940709567e-06, 'epoch': 1.55}
{'loss': 0.105, 'grad_norm': 6.355963706970215, 'learning_rate': 9.478347546793666e-06, 'epoch': 1.58}
{'loss': 0.111, 'grad_norm': 0.40308883786201477, 'learning_rate': 9.293757152877764e-06, 'epoch': 1.61}
{'loss': 0.113, 'grad_norm': 0.12858620285987854, 'learning_rate': 9.109166758961864e-06, 'epoch': 1.63}
{'loss': 0.1139, 'grad_norm': 13.39559555053711, 'learning_rate': 8.924576365045964e-06, 'epoch': 1.66}
{'loss': 0.1025, 'grad_norm': 11.132339477539062, 'learning_rate': 8.739985971130062e-06, 'epoch': 1.69}
{'loss': 0.1005, 'grad_norm': 1.7830625772476196, 'learning_rate': 8.555395577214164e-06, 'epoch': 1.72}
{'loss': 0.1047, 'grad_norm': 6.648383617401123, 'learning_rate': 8.370805183298262e-06, 'epoch': 1.74}
{'loss': 0.1095, 'grad_norm': 0.20283596217632294, 'learning_rate': 8.186214789382362e-06, 'epoch': 1.77}
{'loss': 0.1041, 'grad_norm': 25.573261260986328, 'learning_rate': 8.001624395466461e-06, 'epoch': 1.8}
{'loss': 0.1019, 'grad_norm': 3.62833309173584, 'learning_rate': 7.81703400155056e-06, 'epoch': 1.83}
{'loss': 0.098, 'grad_norm': 0.03338223695755005, 'learning_rate': 7.63244360763466e-06, 'epoch': 1.86}
{'loss': 0.1083, 'grad_norm': 16.011545181274414, 'learning_rate': 7.447853213718759e-06, 'epoch': 1.88}
{'loss': 0.0973, 'grad_norm': 17.061994552612305, 'learning_rate': 7.263262819802858e-06, 'epoch': 1.91}
{'loss': 0.1013, 'grad_norm': 6.638552188873291, 'learning_rate': 7.078672425886958e-06, 'epoch': 1.94}
{'loss': 0.1061, 'grad_norm': 40.27712631225586, 'learning_rate': 6.894082031971057e-06, 'epoch': 1.97}
{'loss': 0.1026, 'grad_norm': 0.5768480896949768, 'learning_rate': 6.7094916380551565e-06, 'epoch': 1.99}
{'loss': 0.064, 'grad_norm': 0.12489186227321625, 'learning_rate': 6.5249012441392554e-06, 'epoch': 2.02}
{'loss': 0.0588, 'grad_norm': 0.0591573528945446, 'learning_rate': 6.340310850223354e-06, 'epoch': 2.05}
{'loss': 0.0687, 'grad_norm': 5.382046699523926, 'learning_rate': 6.155720456307455e-06, 'epoch': 2.08}
{'loss': 0.0651, 'grad_norm': 0.056622449308633804, 'learning_rate': 5.971130062391554e-06, 'epoch': 2.1}
{'loss': 0.0666, 'grad_norm': 0.3216320276260376, 'learning_rate': 5.786539668475653e-06, 'epoch': 2.13}
{'loss': 0.0691, 'grad_norm': 17.030628204345703, 'learning_rate': 5.601949274559753e-06, 'epoch': 2.16}
{'loss': 0.0698, 'grad_norm': 1.9844262599945068, 'learning_rate': 5.417358880643852e-06, 'epoch': 2.19}
{'loss': 0.0575, 'grad_norm': 0.12866109609603882, 'learning_rate': 5.2327684867279515e-06, 'epoch': 2.22}
{'loss': 0.0608, 'grad_norm': 0.023926815018057823, 'learning_rate': 5.0481780928120504e-06, 'epoch': 2.24}
{'loss': 0.0559, 'grad_norm': 0.02362758293747902, 'learning_rate': 4.86358769889615e-06, 'epoch': 2.27}
{'loss': 0.0614, 'grad_norm': 0.022612903267145157, 'learning_rate': 4.678997304980249e-06, 'epoch': 2.3}
{'loss': 0.0512, 'grad_norm': 0.11669838428497314, 'learning_rate': 4.494406911064348e-06, 'epoch': 2.33}
{'loss': 0.0758, 'grad_norm': 3.569390058517456, 'learning_rate': 4.309816517148448e-06, 'epoch': 2.35}
{'loss': 0.0637, 'grad_norm': 0.0565156489610672, 'learning_rate': 4.125226123232548e-06, 'epoch': 2.38}
{'loss': 0.0601, 'grad_norm': 0.045806217938661575, 'learning_rate': 3.940635729316647e-06, 'epoch': 2.41}
{'loss': 0.0567, 'grad_norm': 0.04541800543665886, 'learning_rate': 3.756045335400746e-06, 'epoch': 2.44}
{'loss': 0.0591, 'grad_norm': 0.048214949667453766, 'learning_rate': 3.5714549414848454e-06, 'epoch': 2.46}
{'loss': 0.0578, 'grad_norm': 0.05674426630139351, 'learning_rate': 3.386864547568945e-06, 'epoch': 2.49}
{'loss': 0.0702, 'grad_norm': 0.07947186380624771, 'learning_rate': 3.2022741536530446e-06, 'epoch': 2.52}
{'loss': 0.0547, 'grad_norm': 0.031811799854040146, 'learning_rate': 3.0176837597371435e-06, 'epoch': 2.55}
{'loss': 0.0485, 'grad_norm': 0.019668878987431526, 'learning_rate': 2.833093365821243e-06, 'epoch': 2.58}
{'loss': 0.0567, 'grad_norm': 0.16602516174316406, 'learning_rate': 2.6485029719053423e-06, 'epoch': 2.6}
{'loss': 0.0621, 'grad_norm': 0.17090946435928345, 'learning_rate': 2.4639125779894417e-06, 'epoch': 2.63}
{'loss': 0.0568, 'grad_norm': 0.29528480768203735, 'learning_rate': 2.279322184073541e-06, 'epoch': 2.66}
{'loss': 0.0503, 'grad_norm': 4.988073825836182, 'learning_rate': 2.0947317901576404e-06, 'epoch': 2.69}
{'loss': 0.0512, 'grad_norm': 0.26360389590263367, 'learning_rate': 1.9101413962417398e-06, 'epoch': 2.71}
{'loss': 0.0757, 'grad_norm': 6.109676361083984, 'learning_rate': 1.725551002325839e-06, 'epoch': 2.74}
{'loss': 0.0586, 'grad_norm': 0.12266231328248978, 'learning_rate': 1.5409606084099385e-06, 'epoch': 2.77}
{'loss': 0.0583, 'grad_norm': 0.5265732407569885, 'learning_rate': 1.3563702144940377e-06, 'epoch': 2.8}
{'loss': 0.0414, 'grad_norm': 0.2840487062931061, 'learning_rate': 1.1717798205781373e-06, 'epoch': 2.82}
{'loss': 0.0506, 'grad_norm': 30.154504776000977, 'learning_rate': 9.871894266622366e-07, 'epoch': 2.85}
{'loss': 0.048, 'grad_norm': 0.07039827108383179, 'learning_rate': 8.025990327463359e-07, 'epoch': 2.88}
{'loss': 0.0608, 'grad_norm': 0.07789630442857742, 'learning_rate': 6.180086388304353e-07, 'epoch': 2.91}
{'loss': 0.0627, 'grad_norm': 6.775235652923584, 'learning_rate': 4.3341824491453465e-07, 'epoch': 2.93}
{'loss': 0.0622, 'grad_norm': 0.05456779897212982, 'learning_rate': 2.488278509986341e-07, 'epoch': 2.96}
{'loss': 0.0505, 'grad_norm': 0.08360617607831955, 'learning_rate': 6.423745708273343e-08, 'epoch': 2.99}
